cell_id,arch,n_total,n_prod,n_filler,n_below,frac_prod,frac_filler,frac_below
txc__attn_L10__k8__s42,txc,1440,395,21,1024,0.2743,0.0146,0.7111
txc_h13__resid_L10__k16__s23,txc_h13,1440,376,16,1048,0.2611,0.0111,0.7278
txc__attn_L10__k16__s42,txc,1440,357,23,1060,0.2479,0.016,0.7361
txc__ln1_L10__k32__s42,txc,1440,353,14,1073,0.2451,0.0097,0.7451
txc_h13__resid_L10__k16__s42,txc_h13,1440,334,5,1101,0.2319,0.0035,0.7646
txc_h13__resid_L10__k16__s11,txc_h13,1440,327,16,1097,0.2271,0.0111,0.7618
txc__resid_L10__k16__s42__rratio,txc,1440,319,15,1106,0.2215,0.0104,0.7681
txc__resid_L10__k16__s23,txc,1440,314,15,1111,0.2181,0.0104,0.7715
txc__resid_L10__k16__s11,txc,1440,313,17,1110,0.2174,0.0118,0.7708
txc__resid_L10__k16__s42__rtstat,txc,1440,307,17,1116,0.2132,0.0118,0.775
txc__ln1_L10__k16__s42,txc,1440,305,16,1119,0.2118,0.0111,0.7771
txc__ln1_L10__k8__s42,txc,1440,304,12,1124,0.2111,0.0083,0.7806
txc_h13__resid_L10__k16__s7,txc_h13,1440,303,9,1128,0.2104,0.0063,0.7833
txc_h8__resid_L10__k16__s42,txc_h8,1440,282,14,1144,0.1958,0.0097,0.7944
stacked_sae__resid_L10__k16__s42,stacked_sae,1440,272,13,1155,0.1889,0.009,0.8021
txc__resid_L10__k16__s42,txc,1440,272,20,1148,0.1889,0.0139,0.7972
stacked_sae__ln1_L10__k32__s42,stacked_sae,1440,271,8,1161,0.1882,0.0056,0.8063
txc__resid_L10__k16__s7,txc,1440,269,16,1155,0.1868,0.0111,0.8021
txc__resid_L10__k8__s42,txc,1440,269,15,1156,0.1868,0.0104,0.8028
topk_sae__attn_L10__k16__s42,topk_sae,720,99,7,614,0.1375,0.0097,0.8528
topk_sae__resid_L10__k16__s42,topk_sae,720,93,1,626,0.1292,0.0014,0.8694
topk_sae__attn_L10__k64__s42,topk_sae,720,82,1,637,0.1139,0.0014,0.8847
topk_sae__ln1_L10__k64__s42,topk_sae,720,82,3,635,0.1139,0.0042,0.8819
topk_sae__ln1_L10__k32__s42,topk_sae,720,74,4,642,0.1028,0.0056,0.8917
topk_sae__ln1_L10__k16__s42,topk_sae,720,63,1,656,0.0875,0.0014,0.9111
tsae__ln1_L10__k32__s42,tsae,720,12,0,708,0.0167,0.0,0.9833
tsae__resid_L10__k16__s42,tsae,720,12,0,708,0.0167,0.0,0.9833
tsae__resid_L10__k32__s42__rratio,tsae,720,12,0,708,0.0167,0.0,0.9833
tsae__resid_L10__k32__s42__rtstat,tsae,720,12,0,708,0.0167,0.0,0.9833
tsae__resid_L10__k64__s42,tsae,720,12,0,708,0.0167,0.0,0.9833
tsae_paper__ln1_L10__k32__s42,tsae_paper,1440,23,0,1417,0.016,0.0,0.984
tsae_paper__resid_L10__k32__s42,tsae_paper,1440,23,0,1417,0.016,0.0,0.984
