cell_id,arch,n_total,n_prod,n_filler,n_coh_lowkw,n_incoh,frac_prod,frac_filler,frac_coh_lowkw,frac_incoh
txc__attn_L10__k8__s42,txc,1440,395,21,864,160,0.2743,0.0146,0.6,0.1111
txc_h13__resid_L10__k16__s23,txc_h13,1440,376,16,790,258,0.2611,0.0111,0.5486,0.1792
txc__attn_L10__k16__s42,txc,1440,357,23,925,135,0.2479,0.016,0.6424,0.0938
txc__ln1_L10__k32__s42,txc,1440,353,14,852,221,0.2451,0.0097,0.5917,0.1535
txc_h13__resid_L10__k16__s42,txc_h13,1440,334,5,851,250,0.2319,0.0035,0.591,0.1736
txc_h13__resid_L10__k16__s11,txc_h13,1440,327,16,808,289,0.2271,0.0111,0.5611,0.2007
txc__resid_L10__k16__s42__rratio,txc,1440,319,15,1014,92,0.2215,0.0104,0.7042,0.0639
txc__resid_L10__k16__s23,txc,1440,314,15,857,254,0.2181,0.0104,0.5951,0.1764
txc__resid_L10__k16__s11,txc,1440,313,17,787,323,0.2174,0.0118,0.5465,0.2243
txc__resid_L10__k16__s42__rtstat,txc,1440,307,17,775,341,0.2132,0.0118,0.5382,0.2368
txc__ln1_L10__k16__s42,txc,1440,305,16,797,322,0.2118,0.0111,0.5535,0.2236
txc__ln1_L10__k8__s42,txc,1440,304,12,725,399,0.2111,0.0083,0.5035,0.2771
txc_h13__resid_L10__k16__s7,txc_h13,1440,303,9,792,336,0.2104,0.0063,0.55,0.2333
txc_h8__resid_L10__k16__s42,txc_h8,1440,282,14,917,227,0.1958,0.0097,0.6368,0.1576
stacked_sae__resid_L10__k16__s42,stacked_sae,1440,272,13,617,538,0.1889,0.009,0.4285,0.3736
txc__resid_L10__k16__s42,txc,1440,272,20,825,323,0.1889,0.0139,0.5729,0.2243
stacked_sae__ln1_L10__k32__s42,stacked_sae,1440,271,8,599,562,0.1882,0.0056,0.416,0.3903
txc__resid_L10__k16__s7,txc,1440,269,16,719,436,0.1868,0.0111,0.4993,0.3028
txc__resid_L10__k8__s42,txc,1440,269,15,816,340,0.1868,0.0104,0.5667,0.2361
topk_sae__attn_L10__k16__s42,topk_sae,720,99,7,266,348,0.1375,0.0097,0.3694,0.4833
topk_sae__resid_L10__k16__s42,topk_sae,720,93,1,234,392,0.1292,0.0014,0.325,0.5444
topk_sae__attn_L10__k64__s42,topk_sae,720,82,1,258,379,0.1139,0.0014,0.3583,0.5264
topk_sae__ln1_L10__k64__s42,topk_sae,720,82,3,225,410,0.1139,0.0042,0.3125,0.5694
topk_sae__ln1_L10__k32__s42,topk_sae,720,74,4,216,426,0.1028,0.0056,0.3,0.5917
topk_sae__ln1_L10__k16__s42,topk_sae,720,63,1,179,477,0.0875,0.0014,0.2486,0.6625
tsae__ln1_L10__k32__s42,tsae,720,12,0,68,640,0.0167,0.0,0.0944,0.8889
tsae__resid_L10__k16__s42,tsae,720,12,0,68,640,0.0167,0.0,0.0944,0.8889
tsae__resid_L10__k32__s42__rratio,tsae,720,12,0,68,640,0.0167,0.0,0.0944,0.8889
tsae__resid_L10__k32__s42__rtstat,tsae,720,12,0,68,640,0.0167,0.0,0.0944,0.8889
tsae__resid_L10__k64__s42,tsae,720,12,0,68,640,0.0167,0.0,0.0944,0.8889
tsae_paper__ln1_L10__k32__s42,tsae_paper,1440,23,0,132,1285,0.016,0.0,0.0917,0.8924
tsae_paper__resid_L10__k32__s42,tsae_paper,1440,23,0,132,1285,0.016,0.0,0.0917,0.8924
