cell_id,arch,hookpoint,k_per_position,rank,sonnet_primary,sonnet_primary_ci_lo,sonnet_primary_ci_hi,n_eligible_for_bt_judge,n_genuine_backtracking,n_total_b1_rows,genuine_backtracking_rate,frac_total_productive
txc__attn_L10__k8__s42,txc,attn_L10,8,meandiff,0.008079,0.005943,0.016983,416,378,1440,0.9087,0.2625
txc__attn_L10__k16__s42,txc,attn_L10,16,meandiff,0.00371,0.003305,0.008434,380,346,1440,0.9105,0.2403
txc__ln1_L10__k32__s42,txc,ln1_L10,32,meandiff,0.007439,0.005289,0.010782,367,337,1440,0.9183,0.234
txc_h13__resid_L10__k16__s42,txc_h13,resid_L10,16,meandiff,0.009528,0.007277,0.01227,339,333,1440,0.9823,0.2313
txc__resid_L10__k16__s42__rratio,txc,resid_L10,16,ratio,0.006137,0.004754,0.008525,334,319,1440,0.9551,0.2215
txc__resid_L10__k16__s42__rtstat,txc,resid_L10,16,tstat,0.011359,0.008449,0.014364,325,308,1440,0.9477,0.2139
txc__ln1_L10__k8__s42,txc,ln1_L10,8,meandiff,0.005323,0.003988,0.009117,316,304,1440,0.962,0.2111
txc_h8__resid_L10__k16__s42,txc_h8,resid_L10,16,meandiff,0.005184,0.004102,0.011743,296,281,1440,0.9493,0.1951
stacked_sae__resid_L10__k16__s42,stacked_sae,resid_L10,16,meandiff,0.005365,0.003919,0.009936,286,273,1440,0.9545,0.1896
stacked_sae__ln1_L10__k32__s42,stacked_sae,ln1_L10,32,meandiff,0.004772,0.003642,0.008007,279,271,1440,0.9713,0.1882
txc__resid_L10__k16__s42,txc,resid_L10,16,meandiff,0.011359,0.008331,0.014364,292,271,1440,0.9281,0.1882
txc__resid_L10__k8__s42,txc,resid_L10,8,meandiff,0.005596,0.004143,0.008672,284,269,1440,0.9472,0.1868
txc__ln1_L10__k16__s42,txc,ln1_L10,16,meandiff,0.007828,0.005591,0.010102,321,262,1440,0.8162,0.1819
topk_sae__attn_L10__k16__s42,topk_sae,attn_L10,16,meandiff,0.004698,0.003585,0.007085,106,99,720,0.934,0.1375
topk_sae__resid_L10__k16__s42,topk_sae,resid_L10,16,meandiff,0.00595,0.003923,0.009052,94,93,720,0.9894,0.1292
topk_sae__attn_L10__k64__s42,topk_sae,attn_L10,64,meandiff,0.003286,0.00237,0.006211,83,82,720,0.988,0.1139
topk_sae__ln1_L10__k64__s42,topk_sae,ln1_L10,64,meandiff,0.007083,0.004833,0.009355,85,82,720,0.9647,0.1139
topk_sae__ln1_L10__k32__s42,topk_sae,ln1_L10,32,meandiff,0.004276,0.002752,0.009782,78,74,720,0.9487,0.1028
topk_sae__ln1_L10__k16__s42,topk_sae,ln1_L10,16,meandiff,0.004143,0.002867,0.006332,64,63,720,0.9844,0.0875
tsae__ln1_L10__k32__s42,tsae,ln1_L10,32,meandiff,0.00035,3.2e-05,0.002023,12,12,720,1.0,0.0167
tsae__resid_L10__k16__s42,tsae,resid_L10,16,meandiff,0.00035,3.2e-05,0.002023,12,12,720,1.0,0.0167
tsae__resid_L10__k32__s42__rratio,tsae,resid_L10,32,ratio,0.00035,3.2e-05,0.002023,12,12,720,1.0,0.0167
tsae__resid_L10__k32__s42__rtstat,tsae,resid_L10,32,tstat,0.00035,3.2e-05,0.002023,12,12,720,1.0,0.0167
tsae__resid_L10__k64__s42,tsae,resid_L10,64,meandiff,0.00035,3.2e-05,0.002023,12,12,720,1.0,0.0167
tsae_paper__ln1_L10__k32__s42,tsae_paper,ln1_L10,32,meandiff,0.00035,3.2e-05,0.002023,23,23,1440,1.0,0.016
tsae_paper__resid_L10__k32__s42,tsae_paper,resid_L10,32,meandiff,0.00035,3.2e-05,0.002023,23,23,1440,1.0,0.016
