cell_id,arch,hookpoint,k_per_position,rank,primary_kw_at_coh,primary_kw_at_coh_ci_lo,primary_kw_at_coh_ci_hi,best_magnitude,frac_coherent,primary_kw_at_sonnet_coh,primary_kw_at_sonnet_coh_ci_lo,primary_kw_at_sonnet_coh_ci_hi,best_magnitude_sonnet,frac_coh_sonnet,bootstrap_n
txc__resid_L10__k16__s42,txc,resid_L10,16,meandiff,0.064103,0.048484,0.078688,-16.0,0.1528,0.011359,0.008331,0.014364,-8.0,0.4444,1000
txc__resid_L10__k16__s42__rtstat,txc,resid_L10,16,tstat,0.064103,0.048683,0.078688,-16.0,0.1944,0.011359,0.008331,0.014364,-8.0,0.1528,1000
txc_h13__resid_L10__k16__s42,txc_h13,resid_L10,16,meandiff,0.06133,0.047259,0.083198,16.0,0.125,0.009528,0.007277,0.01227,-12.0,0.4722,1000
txc__ln1_L10__k16__s42,txc,ln1_L10,16,meandiff,0.035391,0.025772,0.091172,-16.0,0.1528,0.007828,0.005591,0.010102,12.0,0.4722,1000
txc__ln1_L10__k32__s42,txc,ln1_L10,32,meandiff,0.027181,0.01606,0.040668,-16.0,0.1111,0.007439,0.005289,0.010782,12.0,0.5972,1000
topk_sae__ln1_L10__k64__s42,topk_sae,ln1_L10,64,meandiff,0.12312,0.100736,0.307401,12.0,0.1667,0.007083,0.004833,0.009355,4.0,0.2778,1000
txc__resid_L10__k8__s42,txc,resid_L10,8,meandiff,0.088794,0.077103,0.099747,-16.0,0.125,0.005596,0.004119,0.008672,-8.0,0.5139,1000
txc_h8__resid_L10__k16__s42,txc_h8,resid_L10,16,meandiff,0.116946,0.089983,0.144744,16.0,0.0972,0.005184,0.004102,0.011743,-16.0,0.4861,1000
stacked_sae__ln1_L10__k32__s42,stacked_sae,ln1_L10,32,meandiff,0.116349,0.098659,0.149204,16.0,0.125,0.004772,0.003642,0.008007,8.0,0.3472,1000
topk_sae__attn_L10__k16__s42,topk_sae,attn_L10,16,meandiff,0.063118,0.049177,0.078062,16.0,0.2778,0.004698,0.003585,0.007085,8.0,0.25,1000
topk_sae__ln1_L10__k32__s42,topk_sae,ln1_L10,32,meandiff,0.474585,0.464409,0.483553,16.0,0.25,0.004276,0.002752,0.009782,4.0,0.25,1000
txc__attn_L10__k8__s42,txc,attn_L10,8,meandiff,0.01769,0.014586,0.022242,16.0,0.1528,0.004274,0.003452,0.014759,8.0,0.2222,1000
topk_sae__ln1_L10__k16__s42,topk_sae,ln1_L10,16,meandiff,0.226229,0.212899,0.240657,12.0,0.1944,0.004143,0.002867,0.006332,-4.0,0.1944,1000
txc__resid_L10__k16__s42__rratio,txc,resid_L10,16,ratio,0.016697,0.013863,0.02338,16.0,0.0694,0.004119,0.002666,0.006558,16.0,0.1111,1000
txc__ln1_L10__k8__s42,txc,ln1_L10,8,meandiff,0.05453,0.048906,0.060198,-16.0,0.1806,0.004038,0.002898,0.009059,-8.0,0.1389,1000
tsae__resid_L10__k32__s42,tsae,resid_L10,32,meandiff,0.010598,0.008496,0.022597,-16.0,0.0556,0.003882,0.002402,0.006704,12.0,0.1667,1000
txc__attn_L10__k16__s42,txc,attn_L10,16,meandiff,0.017314,0.014417,0.02275,-16.0,0.1111,0.00371,0.003264,0.008434,12.0,0.5417,1000
topk_sae__resid_L10__k32__s42,topk_sae,resid_L10,32,meandiff,0.036223,0.027419,0.046524,-16.0,0.1389,0.003622,0.002382,0.007108,-8.0,0.1667,1000
stacked_sae__resid_L10__k32__s42,stacked_sae,resid_L10,32,meandiff,0.019384,0.013646,0.043102,-16.0,0.125,0.003317,0.002228,0.008133,8.0,0.1806,1000
topk_sae__attn_L10__k64__s42,topk_sae,attn_L10,64,meandiff,0.018192,0.009139,0.046467,8.0,0.0833,0.003286,0.00237,0.006211,4.0,0.2222,1000
txc__attn_L10__k32__s42,txc,attn_L10,32,meandiff,0.020536,0.01708,0.024857,16.0,0.125,0.003115,0.002386,0.008638,8.0,0.1528,1000
topk_sae__attn_L10__k32__s42,topk_sae,attn_L10,32,meandiff,0.044854,0.035606,0.053091,-16.0,0.1111,0.003102,0.001393,0.005626,-8.0,0.1111,1000
stacked_sae__attn_L10__k32__s42,stacked_sae,attn_L10,32,meandiff,0.020261,0.015332,0.025224,-16.0,0.0694,0.003025,0.002169,0.006188,8.0,0.1806,1000
stacked_sae__resid_L10__k16__s42,stacked_sae,resid_L10,16,meandiff,0.028642,0.027809,0.089068,12.0,0.1806,0.002646,0.001809,0.009587,-4.0,0.1528,1000
txc__resid_L10__k32__s42,txc,resid_L10,32,meandiff,0.027592,0.023914,0.081026,12.0,0.1944,0.002618,0.001643,0.00692,8.0,0.0972,1000
tsae__attn_L10__k32__s42,tsae,attn_L10,32,meandiff,0.009377,0.007132,0.031786,12.0,0.1111,0.002098,0.001364,0.006257,-12.0,0.1944,1000
topk_sae__resid_L10__k16__s42,topk_sae,resid_L10,16,meandiff,0.1724,0.123913,0.220969,12.0,0.3056,0.000431,0.000758,0.009052,-4.0,0.0833,1000
tsae__ln1_L10__k32__s42,tsae,ln1_L10,32,meandiff,0.007,0.007,0.007,-16.0,0.7778,0.00035,3.2e-05,0.002023,0.0,0.1111,1000
tsae__resid_L10__k16__s42,tsae,resid_L10,16,meandiff,0.007,0.007,0.007,4.0,0.6111,0.00035,3.2e-05,0.002023,0.0,0.1111,1000
tsae__resid_L10__k32__s42__rratio,tsae,resid_L10,32,ratio,0.007,0.007,0.007,-16.0,0.7778,0.00035,3.2e-05,0.002023,0.0,0.0833,1000
tsae__resid_L10__k32__s42__rtstat,tsae,resid_L10,32,tstat,0.007,0.007,0.007,-16.0,0.6667,0.00035,3.2e-05,0.002023,0.0,0.1111,1000
tsae__resid_L10__k64__s42,tsae,resid_L10,64,meandiff,0.007,0.007,0.007,-16.0,0.7222,0.00035,3.2e-05,0.002023,0.0,0.1111,1000
