arch,cell,magnitude,n,frac_coh,mean_kw,frac_prod,n_prod
txc,txc__resid_L10__k16__s42,-16.0,160,0.4125,0.0315,0.025,4
txc,txc__resid_L10__k16__s42,-12.0,160,0.7063,0.0191,0.1437,23
txc,txc__resid_L10__k16__s42,-8.0,160,0.9875,0.0101,0.3125,50
txc,txc__resid_L10__k16__s42,-4.0,160,0.9938,0.0076,0.1688,27
txc,txc__resid_L10__k16__s42,0.0,160,1.0,0.0074,0.15,24
txc,txc__resid_L10__k16__s42,4.0,160,0.9812,0.0083,0.2125,34
txc,txc__resid_L10__k16__s42,8.0,160,0.8625,0.0114,0.3375,54
txc,txc__resid_L10__k16__s42,12.0,160,0.6375,0.0144,0.225,36
txc,txc__resid_L10__k16__s42,16.0,160,0.4,0.0251,0.125,20
txc_h13,txc_h13__resid_L10__k16__s42,-16.0,160,0.5625,0.0184,0.1375,22
txc_h13,txc_h13__resid_L10__k16__s42,-12.0,160,0.9187,0.0129,0.4125,66
txc_h13,txc_h13__resid_L10__k16__s42,-8.0,160,0.9938,0.009,0.275,44
txc_h13,txc_h13__resid_L10__k16__s42,-4.0,160,0.9938,0.0072,0.1375,22
txc_h13,txc_h13__resid_L10__k16__s42,0.0,160,1.0,0.0074,0.15,24
txc_h13,txc_h13__resid_L10__k16__s42,4.0,160,0.9938,0.008,0.2313,37
txc_h13,txc_h13__resid_L10__k16__s42,8.0,160,0.9625,0.0106,0.3937,63
txc_h13,txc_h13__resid_L10__k16__s42,12.0,160,0.6687,0.0168,0.2938,47
txc_h13,txc_h13__resid_L10__k16__s42,16.0,160,0.3438,0.0292,0.0563,9
txc_h8,txc_h8__resid_L10__k16__s42,-16.0,160,0.5062,0.0153,0.1375,22
txc_h8,txc_h8__resid_L10__k16__s42,-12.0,160,0.8625,0.0126,0.275,44
txc_h8,txc_h8__resid_L10__k16__s42,-8.0,160,0.9812,0.0085,0.2687,43
txc_h8,txc_h8__resid_L10__k16__s42,-4.0,160,0.9938,0.0072,0.1125,18
txc_h8,txc_h8__resid_L10__k16__s42,0.0,160,1.0,0.0074,0.15,24
txc_h8,txc_h8__resid_L10__k16__s42,4.0,160,0.9938,0.0073,0.125,20
txc_h8,txc_h8__resid_L10__k16__s42,8.0,160,0.9688,0.0099,0.2562,41
txc_h8,txc_h8__resid_L10__k16__s42,12.0,160,0.7812,0.0174,0.2687,43
txc_h8,txc_h8__resid_L10__k16__s42,16.0,160,0.4938,0.033,0.1688,27
topk_sae,topk_sae__ln1_L10__k64__s42,-16.0,80,0.0,0.0,0.0,0
topk_sae,topk_sae__ln1_L10__k64__s42,-12.0,80,0.0375,0.002,0.0,0
topk_sae,topk_sae__ln1_L10__k64__s42,-8.0,80,0.3,0.0225,0.0,0
topk_sae,topk_sae__ln1_L10__k64__s42,-4.0,80,0.9625,0.011,0.35,28
topk_sae,topk_sae__ln1_L10__k64__s42,0.0,80,1.0,0.0074,0.15,12
topk_sae,topk_sae__ln1_L10__k64__s42,4.0,80,1.0,0.0113,0.5,40
topk_sae,topk_sae__ln1_L10__k64__s42,8.0,80,0.2625,0.0369,0.025,2
topk_sae,topk_sae__ln1_L10__k64__s42,12.0,80,0.175,0.0586,0.0,0
topk_sae,topk_sae__ln1_L10__k64__s42,16.0,80,0.1375,0.1056,0.0,0
stacked_sae,stacked_sae__resid_L10__k16__s42,-16.0,160,0.175,0.0131,0.0,0
stacked_sae,stacked_sae__resid_L10__k16__s42,-12.0,160,0.3937,0.0131,0.1875,30
stacked_sae,stacked_sae__resid_L10__k16__s42,-8.0,160,0.6312,0.013,0.1875,30
stacked_sae,stacked_sae__resid_L10__k16__s42,-4.0,160,0.9875,0.009,0.2938,47
stacked_sae,stacked_sae__resid_L10__k16__s42,0.0,160,1.0,0.0074,0.15,24
stacked_sae,stacked_sae__resid_L10__k16__s42,4.0,160,0.9625,0.0094,0.2875,46
stacked_sae,stacked_sae__resid_L10__k16__s42,8.0,160,0.6687,0.0222,0.2062,33
stacked_sae,stacked_sae__resid_L10__k16__s42,12.0,160,0.5625,0.0176,0.225,36
stacked_sae,stacked_sae__resid_L10__k16__s42,16.0,160,0.2562,0.0224,0.1688,27
tsae_paper,tsae_paper__resid_L10__k32__s42,-16.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,-12.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,-8.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,-4.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,0.0,160,0.9688,0.0074,0.1437,23
tsae_paper,tsae_paper__resid_L10__k32__s42,4.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,8.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,12.0,160,0.0,0.0,0.0,0
tsae_paper,tsae_paper__resid_L10__k32__s42,16.0,160,0.0,0.0,0.0,0
