arch,magnitude,frac_prod,ci_lo,ci_hi,n
txc,-16.0,0.025,0.0063,0.05,160
txc,-12.0,0.1437,0.0813,0.2062,160
txc,-8.0,0.3125,0.2188,0.4062,160
txc,-4.0,0.1688,0.0813,0.2687,160
txc,0.0,0.15,0.0,0.3,160
txc,4.0,0.2125,0.1375,0.3,160
txc,8.0,0.3375,0.2313,0.4375,160
txc,12.0,0.225,0.15,0.3125,160
txc,16.0,0.125,0.0688,0.1875,160
txc_h13,-16.0,0.1375,0.1,0.1812,160
txc_h13,-12.0,0.4125,0.3312,0.5,160
txc_h13,-8.0,0.275,0.1812,0.375,160
txc_h13,-4.0,0.1375,0.05,0.2437,160
txc_h13,0.0,0.15,0.0,0.3,160
txc_h13,4.0,0.2313,0.1375,0.35,160
txc_h13,8.0,0.3937,0.275,0.5125,160
txc_h13,12.0,0.2938,0.2188,0.3688,160
txc_h13,16.0,0.0563,0.0312,0.0813,160
topk_sae,-16.0,0.0,0.0,0.0,80
topk_sae,-12.0,0.0,0.0,0.0,80
topk_sae,-8.0,0.0,0.0,0.0,80
topk_sae,-4.0,0.35,0.225,0.4625,80
topk_sae,0.0,0.15,0.0,0.3,80
topk_sae,4.0,0.5,0.3625,0.65,80
topk_sae,8.0,0.025,0.0,0.0625,80
topk_sae,12.0,0.0,0.0,0.0,80
topk_sae,16.0,0.0,0.0,0.0,80
stacked_sae,-16.0,0.0,0.0,0.0,160
stacked_sae,-12.0,0.1875,0.1313,0.2437,160
stacked_sae,-8.0,0.1875,0.125,0.25,160
stacked_sae,-4.0,0.2938,0.1688,0.4375,160
stacked_sae,0.0,0.15,0.0,0.3,160
stacked_sae,4.0,0.2875,0.1938,0.3937,160
stacked_sae,8.0,0.2,0.1375,0.2625,160
stacked_sae,12.0,0.225,0.1625,0.2812,160
stacked_sae,16.0,0.1688,0.1187,0.225,160
