config,rank,arch,best_cell,n_prod,n_total,frac_prod
"default (coh>=2, kw>=0.005, judge>=1)",1,txc,txc__attn_L10__k8__s42,395,1440,0.2743
"default (coh>=2, kw>=0.005, judge>=1)",2,txc_h13,txc_h13__resid_L10__k16__s23,376,1440,0.2611
"default (coh>=2, kw>=0.005, judge>=1)",3,txc_h8,txc_h8__resid_L10__k16__s42,282,1440,0.1958
"default (coh>=2, kw>=0.005, judge>=1)",4,stacked_sae,stacked_sae__resid_L10__k16__s42,273,1440,0.1896
"default (coh>=2, kw>=0.005, judge>=1)",5,topk_sae,topk_sae__attn_L10__k16__s42,99,720,0.1375
"default (coh>=2, kw>=0.005, judge>=1)",6,tsae,tsae__ln1_L10__k32__s42,12,720,0.0167
"default (coh>=2, kw>=0.005, judge>=1)",7,tsae_paper,tsae_paper__ln1_L10__k32__s42,23,1440,0.016
"strict-judge (coh>=2, kw>=0.005, judge>=2)",1,txc,txc__attn_L10__k8__s42,327,1440,0.2271
"strict-judge (coh>=2, kw>=0.005, judge>=2)",2,txc_h13,txc_h13__resid_L10__k16__s23,290,1440,0.2014
"strict-judge (coh>=2, kw>=0.005, judge>=2)",3,stacked_sae,stacked_sae__ln1_L10__k32__s42,218,1440,0.1514
"strict-judge (coh>=2, kw>=0.005, judge>=2)",4,txc_h8,txc_h8__resid_L10__k16__s42,212,1440,0.1472
"strict-judge (coh>=2, kw>=0.005, judge>=2)",5,topk_sae,topk_sae__attn_L10__k16__s42,70,720,0.0972
"strict-judge (coh>=2, kw>=0.005, judge>=2)",6,tsae,tsae__resid_L10__k32__s42__rtstat,10,720,0.0139
"strict-judge (coh>=2, kw>=0.005, judge>=2)",7,tsae_paper,tsae_paper__resid_L10__k32__s42,19,1440,0.0132
"strict-coh (coh>=3, kw>=0.005, judge>=1)",1,txc,txc__attn_L10__k8__s42,204,1440,0.1417
"strict-coh (coh>=3, kw>=0.005, judge>=1)",2,txc_h13,txc_h13__resid_L10__k16__s11,185,1440,0.1285
"strict-coh (coh>=3, kw>=0.005, judge>=1)",3,stacked_sae,stacked_sae__ln1_L10__k32__s42,153,1440,0.1062
"strict-coh (coh>=3, kw>=0.005, judge>=1)",4,txc_h8,txc_h8__resid_L10__k16__s42,147,1440,0.1021
"strict-coh (coh>=3, kw>=0.005, judge>=1)",5,topk_sae,topk_sae__attn_L10__k16__s42,65,720,0.0903
"strict-coh (coh>=3, kw>=0.005, judge>=1)",6,tsae,tsae__ln1_L10__k32__s42,12,720,0.0167
"strict-coh (coh>=3, kw>=0.005, judge>=1)",7,tsae_paper,tsae_paper__ln1_L10__k32__s42,23,1440,0.016
"strict-kw (coh>=2, kw>=0.012, judge>=1)",1,txc_h13,txc_h13__resid_L10__k16__s23,105,1440,0.0729
"strict-kw (coh>=2, kw>=0.012, judge>=1)",2,txc,txc__ln1_L10__k32__s42,96,1440,0.0667
"strict-kw (coh>=2, kw>=0.012, judge>=1)",3,stacked_sae,stacked_sae__resid_L10__k16__s42,61,1440,0.0424
"strict-kw (coh>=2, kw>=0.012, judge>=1)",4,topk_sae,topk_sae__resid_L10__k16__s42,24,720,0.0333
"strict-kw (coh>=2, kw>=0.012, judge>=1)",5,txc_h8,txc_h8__resid_L10__k16__s42,41,1440,0.0285
"strict-kw (coh>=2, kw>=0.012, judge>=1)",6,tsae,tsae__ln1_L10__k32__s42,0,720,0.0
"strict-kw (coh>=2, kw>=0.012, judge>=1)",7,tsae_paper,tsae_paper__ln1_L10__k32__s42,0,1440,0.0
"strict-all (coh>=3, kw>=0.012, judge>=2)",1,txc,txc__ln1_L10__k32__s42,22,1440,0.0153
"strict-all (coh>=3, kw>=0.012, judge>=2)",2,txc_h13,txc_h13__resid_L10__k16__s42,16,1440,0.0111
"strict-all (coh>=3, kw>=0.012, judge>=2)",3,stacked_sae,stacked_sae__ln1_L10__k32__s42,14,1440,0.0097
"strict-all (coh>=3, kw>=0.012, judge>=2)",4,topk_sae,topk_sae__resid_L10__k16__s42,6,720,0.0083
"strict-all (coh>=3, kw>=0.012, judge>=2)",5,txc_h8,txc_h8__resid_L10__k16__s42,8,1440,0.0056
"strict-all (coh>=3, kw>=0.012, judge>=2)",6,tsae,tsae__ln1_L10__k32__s42,0,720,0.0
"strict-all (coh>=3, kw>=0.012, judge>=2)",7,tsae_paper,tsae_paper__ln1_L10__k32__s42,0,1440,0.0
