[grid] 298 cells, max_workers=10
[1/298     16s] circ/batchtopk_sae/T1/d64/k1/s1/trained              vel=+0.000 orc=0.103 nmse=0.594 (cache t=True e=False)
[2/298     17s] circ/batchtopk_sae/T1/d32/k1/s1/trained              vel=-0.000 orc=0.103 nmse=0.594 (cache t=True e=False)
[3/298     19s] circ/batchtopk_sae/T1/d101/k1/s1/trained             vel=+0.000 orc=0.103 nmse=0.595 (cache t=True e=False)
[4/298     19s] circ/batchtopk_sae/T1/d101/k1/s1/untrained           vel=+0.002 orc=0.103 nmse=0.945 (cache t=True e=False)
[5/298     20s] circ/batchtopk_sae/T1/d101/k2/s1/trained             vel=-0.002 orc=0.103 nmse=0.540 (cache t=True e=False)
[6/298     21s] circ/batchtopk_sae/T1/d256/k1/s1/trained             vel=+0.000 orc=0.103 nmse=0.597 (cache t=True e=False)
[7/298     24s] rand/batchtopk_sae/T1/d101/k1/s1/trained             vel=+0.013 orc=0.107 nmse=0.576 (cache t=True e=False)
[8/298     24s] circ/tsae/T1/d101/k1/s1/untrained                    vel=+0.002 orc=0.103 nmse=0.945 (cache t=True e=False)
[9/298    116s] circ/txc_batchtopk_pre/T2/d64/k1/s1/trained          vel=+0.030 orc=0.686 nmse=0.594 (cache t=False e=False)
[10/298    117s] circ/txc_batchtopk_pre/T2/d32/k1/s1/trained          vel=+0.029 orc=0.686 nmse=0.593 (cache t=False e=False)
[11/298    120s] circ/txc_batchtopk_pre/T2/d101/k1/s1/untrained       vel=+0.003 orc=0.686 nmse=0.973 (cache t=False e=False)
[12/298    121s] circ/txc_batchtopk_pre/T2/d101/k1/s1/trained         vel=+0.026 orc=0.686 nmse=0.594 (cache t=False e=False)
[13/298    129s] circ/txc_batchtopk_pre/T2/d256/k1/s1/trained         vel=+0.007 orc=0.686 nmse=0.592 (cache t=False e=False)
[14/298    194s] circ/txc_batchtopk_pre/T2/d101/k2/s1/trained         vel=+0.024 orc=0.686 nmse=0.546 (cache t=False e=False)
[15/298    196s] circ/txc_batchtopk_pre/T4/d32/k1/s1/trained          vel=+0.054 orc=0.886 nmse=0.586 (cache t=False e=False)
[16/298    201s] rand/txc_batchtopk_pre/T2/d101/k1/s1/trained         vel=+0.037 orc=1.000 nmse=0.747 (cache t=False e=False)
[17/298    203s] circ/txc_batchtopk_pre/T4/d101/k1/s1/untrained       vel=+0.000 orc=0.886 nmse=0.987 (cache t=False e=False)
[18/298    204s] circ/txc_batchtopk_pre/T4/d64/k1/s1/trained          vel=+0.059 orc=0.886 nmse=0.594 (cache t=False e=False)
[19/298    268s] circ/txc_batchtopk_pre/T4/d101/k1/s1/trained         vel=+0.043 orc=0.886 nmse=0.593 (cache t=False e=False)
[20/298    269s] circ/txc_batchtopk_pre/T4/d256/k1/s1/trained         vel=+0.062 orc=0.886 nmse=0.587 (cache t=False e=False)
[21/298    280s] circ/txc_batchtopk_pre/T4/d101/k2/s1/trained         vel=+0.058 orc=0.886 nmse=0.546 (cache t=False e=False)
[22/298    283s] rand/txc_batchtopk_pre/T4/d101/k1/s1/trained         vel=+0.045 orc=1.000 nmse=0.846 (cache t=False e=False)
[23/298    343s] circ/txc_batchtopk_pre/T8/d32/k1/s1/trained          vel=+0.128 orc=0.990 nmse=0.578 (cache t=False e=False)
[24/298    343s] circ/txc_batchtopk_pre/T8/d64/k1/s1/trained          vel=+0.109 orc=0.990 nmse=0.579 (cache t=False e=False)
[25/298    344s] circ/txc_batchtopk_pre/T8/d101/k1/s1/untrained       vel=-0.005 orc=0.990 nmse=0.993 (cache t=False e=False)
[26/298    355s] circ/txc_batchtopk_pre/T8/d101/k1/s1/trained         vel=+0.140 orc=0.990 nmse=0.578 (cache t=False e=False)
[27/298    356s] circ/txc_batchtopk_pre/T8/d256/k1/s1/trained         vel=+0.133 orc=0.990 nmse=0.579 (cache t=False e=False)
[28/298    417s] circ/txc_batchtopk_pre/T8/d101/k2/s1/trained         vel=+0.114 orc=0.990 nmse=0.550 (cache t=False e=False)
[29/298    422s] rand/txc_batchtopk_pre/T8/d101/k1/s1/trained         vel=+0.074 orc=1.000 nmse=0.898 (cache t=False e=False)
[30/298    429s] circ/txc_batchtopk_pre/T16/d32/k1/s1/trained         vel=+0.260 orc=1.000 nmse=0.580 (cache t=False e=False)
