concat,arch,prefix,label,silhouette
concat_C_v2,agentic_txc_02,high,semantic,-0.042077574878931046
concat_C_v2,agentic_txc_02,high,context,-0.18050411343574524
concat_C_v2,agentic_txc_02,high,pos,0.11587731540203094
concat_C_v2,agentic_txc_02,low,semantic,-0.018041176721453667
concat_C_v2,agentic_txc_02,low,context,-0.11280369013547897
concat_C_v2,agentic_txc_02,low,pos,0.053167715668678284
concat_C_v2,agentic_mlc_08,high,semantic,-0.042768508195877075
concat_C_v2,agentic_mlc_08,high,context,-0.22766268253326416
concat_C_v2,agentic_mlc_08,high,pos,0.08622784912586212
concat_C_v2,agentic_mlc_08,low,semantic,-0.018958499655127525
concat_C_v2,agentic_mlc_08,low,context,-0.16886255145072937
concat_C_v2,agentic_mlc_08,low,pos,0.03187881037592888
concat_C_v2,tsae_paper,high,semantic,-0.03187165409326553
concat_C_v2,tsae_paper,high,context,-0.1778355836868286
concat_C_v2,tsae_paper,high,pos,0.0716380774974823
concat_C_v2,tsae_paper,low,semantic,-0.002500611823052168
concat_C_v2,tsae_paper,low,context,-0.12971633672714233
concat_C_v2,tsae_paper,low,pos,0.022319577634334564
concat_C_v2,tsae_ours,high,semantic,-0.06469488888978958
concat_C_v2,tsae_ours,high,context,-0.2868960201740265
concat_C_v2,tsae_ours,high,pos,0.10294631123542786
concat_C_v2,tsae_ours,low,semantic,-0.02467840164899826
concat_C_v2,tsae_ours,low,context,-0.18614594638347626
concat_C_v2,tsae_ours,low,pos,0.04112595319747925
concat_C_v2,tfa_big,high,semantic,-0.12363424897193909
concat_C_v2,tfa_big,high,context,-0.38797450065612793
concat_C_v2,tfa_big,high,pos,-0.04367684945464134
concat_C_v2,tfa_big,low,semantic,-6.984663923503831e-05
concat_C_v2,tfa_big,low,context,-0.002070432063192129
concat_C_v2,tfa_big,low,pos,5.3684461818193085e-06
