mode,target,magnitude,n_prompts,mean_keyword_fraction,sem
raw_dom,raw_dom,0.0,5,0.0012048192771084338,0.0012048192771084338
raw_dom,raw_dom,4.0,5,0.011177278833170764,0.0012761659160345081
raw_dom,raw_dom,8.0,5,0.04891199692117428,0.007541889680042405
raw_dom,raw_dom,12.0,5,0.0,0.0
raw_dom,raw_dom,16.0,5,0.0,0.0
raw_dom,raw_dom,20.0,5,0.0,0.0
sae_additive,feat_10750,0.0,5,0.0012048192771084338,0.0012048192771084338
sae_additive,feat_10750,4.0,5,0.002529322588366712,0.0015517747745814369
sae_additive,feat_10750,8.0,5,0.007890282907835337,0.0032365857817747597
sae_additive,feat_10750,12.0,5,0.011394109422547954,0.0025427140264299326
sae_additive,feat_10750,16.0,5,0.013986925174676253,0.00247277293417425
sae_additive,feat_10750,20.0,5,0.01374806431717209,0.0037124476600357273
sae_additive,feat_27749,0.0,5,0.0012048192771084338,0.0012048192771084338
sae_additive,feat_27749,4.0,5,0.003973509933774834,0.0026490066225165563
sae_additive,feat_27749,8.0,5,0.03489064048690964,0.004274679086268006
sae_additive,feat_27749,12.0,5,0.1508256401231683,0.025298766146903403
sae_additive,feat_27749,16.0,5,0.18650543015009038,0.07521748331556426
sae_additive,feat_27749,20.0,5,0.10304607007759706,0.08626866493975112
sae_additive,feat_2776,0.0,5,0.0012048192771084338,0.0012048192771084338
sae_additive,feat_2776,4.0,5,0.011968788404539868,0.0014483322314500792
sae_additive,feat_2776,8.0,5,0.06219227313070737,0.011128752936311043
sae_additive,feat_2776,12.0,5,0.005788982259570495,0.0035725726367337052
sae_additive,feat_2776,16.0,5,0.0,0.0
sae_additive,feat_2776,20.0,5,0.0,0.0
sae_clamp,feat_10750,0.0,5,0.0013605442176870747,0.0013605442176870747
sae_clamp,feat_10750,5.0,5,0.0027118955690384264,0.0016607059973121402
sae_clamp,feat_10750,10.0,5,0.002585919252585919,0.001586234811345307
sae_clamp,feat_10750,25.0,5,0.002651914295749912,0.0016254423550637986
sae_clamp,feat_10750,50.0,5,0.0025267017376056113,0.001548834303543296
sae_clamp,feat_10750,100.0,5,0.008713845830634628,0.00248240530535646
sae_clamp,feat_27749,0.0,5,0.0012195121951219512,0.0012195121951219512
sae_clamp,feat_27749,5.0,5,0.0,0.0
sae_clamp,feat_27749,10.0,5,0.0013333333333333335,0.0013333333333333335
sae_clamp,feat_27749,25.0,5,0.004,0.004
sae_clamp,feat_27749,50.0,5,0.04952565905805818,0.00621904830203336
sae_clamp,feat_27749,100.0,5,0.0382033096926714,0.030131004401474797
sae_clamp,feat_2776,0.0,5,0.0013071895424836603,0.0013071895424836603
sae_clamp,feat_2776,5.0,5,0.0013071895424836603,0.0013071895424836603
sae_clamp,feat_2776,10.0,5,0.002556170628459785,0.0015696091507645755
sae_clamp,feat_2776,25.0,5,0.0025565629339214246,0.0015659015572454197
sae_clamp,feat_2776,50.0,5,0.01667768167238105,0.005088087828709186
sae_clamp,feat_2776,100.0,5,0.0,0.0
