variant,mode,target,magnitude,n_prompts,mean_keyword_fraction,sem_keyword_fraction,n_coherence_graded,mean_coherence,sem_coherence
main,raw_dom,raw_dom,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
main,raw_dom,raw_dom,4.0,30,0.01068555954639432,0.0007739407766966189,30,3.0,0.0
main,raw_dom,raw_dom,8.0,30,0.051215337083231435,0.00788964796176713,30,1.0,0.0
main,raw_dom,raw_dom,12.0,30,0.14417029114897933,0.03996921025495147,30,1.0,0.0
main,raw_dom,raw_dom,16.0,30,0.08114401502089578,0.020302041443502564,30,1.0,0.0
main,raw_dom,raw_dom,20.0,30,0.0028532122405153905,0.001261474544934545,30,0.9333333333333333,0.04632055558531008
main,sae_additive,feat_7792,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
main,sae_additive,feat_7792,4.0,30,0.018711798815949556,0.0012042132960559913,30,2.6,0.12317635241028795
main,sae_additive,feat_7792,8.0,30,0.08692858953965901,0.005571141348835054,30,1.0,0.0
main,sae_additive,feat_7792,12.0,30,0.10282523052957515,0.03714434366964836,30,1.0,0.0
main,sae_additive,feat_7792,16.0,30,0.0,0.0,30,0.06666666666666667,0.04632055558531008
main,sae_additive,feat_7792,20.0,30,0.0,0.0,30,0.06666666666666667,0.04632055558531008
32x,raw_dom,raw_dom,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
32x,raw_dom,raw_dom,4.0,30,0.012617825140314289,0.0011970112183671002,30,3.0,0.0
32x,raw_dom,raw_dom,8.0,30,0.11651256782789825,0.01232510309718809,30,1.0,0.0
32x,raw_dom,raw_dom,12.0,30,0.12368303487891937,0.039597620577821256,30,1.0,0.0
32x,raw_dom,raw_dom,16.0,30,0.16394243534239192,0.05097944188302987,30,1.0,0.0
32x,raw_dom,raw_dom,20.0,30,0.0,0.0,30,0.9333333333333333,0.04632055558531008
32x,sae_additive,feat_71839,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
32x,sae_additive,feat_71839,4.0,30,0.00464064896165438,0.0010837724963036596,30,2.933333333333333,0.04632055558531008
32x,sae_additive,feat_71839,8.0,30,0.025307823511778755,0.0025991180006818444,30,2.9,0.07350033231608354
32x,sae_additive,feat_71839,12.0,30,0.07238581128761928,0.008601558004068663,30,1.3,0.08509629433967632
32x,sae_additive,feat_71839,16.0,30,0.1746946366073755,0.02394147078062912,30,1.0,0.0
32x,sae_additive,feat_71839,20.0,30,0.432591127740225,0.08615024675137346,30,1.0,0.0
32x_strat,raw_dom,raw_dom,0.0,30,0.0013148448941070487,0.0005736357144952774,30,2.9,0.05570860145311556
32x_strat,raw_dom,raw_dom,4.0,30,0.011440132058367216,0.0012143306325229303,30,2.933333333333333,0.04632055558531008
32x_strat,raw_dom,raw_dom,8.0,30,0.04994110982576816,0.0075514172729764075,30,1.0,0.0
32x_strat,raw_dom,raw_dom,12.0,30,0.058957954319147556,0.01757802880568278,30,1.0,0.0
32x_strat,raw_dom,raw_dom,16.0,30,0.06638082315089615,0.03416024771975377,30,1.0,0.0
32x_strat,raw_dom,raw_dom,20.0,30,0.0,0.0,30,0.8666666666666667,0.06312427686319991
32x_strat,sae_additive,feat_71839,0.0,30,0.0013148448941070487,0.0005736357144952774,30,2.9,0.05570860145311556
32x_strat,sae_additive,feat_71839,4.0,30,0.002828837785291433,0.000735581496570519,30,2.966666666666667,0.03333333333333333
32x_strat,sae_additive,feat_71839,8.0,30,0.02863148502173251,0.0026911026859818164,30,2.7,0.11890303206597702
32x_strat,sae_additive,feat_71839,12.0,30,0.06536541881125038,0.0047616916954223275,30,1.3666666666666667,0.10152099984713353
32x_strat,sae_additive,feat_71839,16.0,30,0.11358429833439201,0.02052951740032896,30,1.0666666666666667,0.04632055558531008
32x_strat,sae_additive,feat_71839,20.0,30,0.3728769851278731,0.0789168327957398,30,0.9333333333333333,0.04632055558531008
32x_topk3,sae_additive,sum_top3,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
32x_topk3,sae_additive,sum_top3,4.0,30,0.0070970899424919135,0.0013097749127766512,30,2.966666666666667,0.03333333333333333
32x_topk3,sae_additive,sum_top3,8.0,30,0.05049913010090157,0.0035416947150979554,30,1.1,0.07350033231608354
32x_topk3,sae_additive,sum_top3,12.0,30,0.12482321298926743,0.013061867780475236,30,1.0,0.0
32x_topk3,sae_additive,sum_top3,16.0,30,0.3920254319549602,0.0753811004724585,30,1.0,0.0
32x_topk3,sae_additive,sum_top3,20.0,30,0.001707383431841636,0.0010921536285721431,30,0.1,0.05570860145311556
main_strat,raw_dom,raw_dom,0.0,30,0.0013148448941070487,0.0005736357144952774,30,2.9,0.05570860145311556
main_strat,raw_dom,raw_dom,4.0,30,0.011440132058367216,0.0012143306325229303,30,2.933333333333333,0.04632055558531008
