variant,mode,target,magnitude,n_prompts,n_coherent,n_induced,n_collapsed,successful_induction_rate
main,sae_additive,feat_7792,4.0,30,27,24,0,0.8
32x,sae_additive,feat_71839,8.0,30,29,24,0,0.8
32x_strat,sae_additive,feat_71839,8.0,30,27,24,0,0.8
neg_alpha_32x,sae_additive,feat_71839,8.0,30,29,24,0,0.8
neg_alpha_8x,sae_additive,feat_7792,4.0,30,23,19,0,0.6333333333333333
ratio,sae_additive,feat_27749,8.0,30,21,19,0,0.6333333333333333
32x,raw_dom,raw_dom,4.0,30,30,18,0,0.6
main_strat,sae_additive,feat_7792,4.0,30,28,18,0,0.6
neg_alpha_32x,raw_dom,raw_dom,4.0,30,30,18,0,0.6
neg_alpha_8x,raw_dom,raw_dom,4.0,30,30,18,0,0.6
ratio,raw_dom,raw_dom,4.0,30,30,18,0,0.6
neg_alpha_8x,sae_additive,feat_7792,-8.0,30,19,17,0,0.5666666666666667
main,raw_dom,raw_dom,4.0,30,30,16,0,0.5333333333333333
topk5,sae_additive,sum_top5,8.0,30,16,15,0,0.5
ratio_strat,sae_additive,feat_27749,8.0,30,20,14,0,0.4666666666666667
32x_strat,raw_dom,raw_dom,4.0,30,30,13,0,0.43333333333333335
main_strat,raw_dom,raw_dom,4.0,30,30,13,0,0.43333333333333335
ratio_strat,raw_dom,raw_dom,4.0,30,30,13,0,0.43333333333333335
32x_topk3,sae_additive,sum_top3,4.0,30,30,12,0,0.4
topk3,sae_additive,sum_top3,4.0,30,30,12,0,0.4
multipos_k20,sae_additive,feat_7792,4.0,30,30,11,0,0.36666666666666664
neg_alpha_8x,sae_additive,feat_7792,-4.0,30,30,10,0,0.3333333333333333
topk5,sae_additive,sum_top5,4.0,30,30,10,0,0.3333333333333333
32x_strat,sae_additive,feat_71839,12.0,30,10,9,0,0.3
modeldiff_nous,sae_additive,feat_2776,4.0,30,30,9,0,0.3
multipos,sae_additive,feat_7792,8.0,30,26,9,0,0.3
multipos,raw_dom,raw_dom,8.0,30,15,8,0,0.26666666666666666
multipos_k20,raw_dom,raw_dom,4.0,30,30,7,0,0.23333333333333334
ratio,sae_additive,feat_27749,4.0,30,30,6,0,0.2
32x,sae_additive,feat_71839,12.0,30,9,5,0,0.16666666666666666
modeldiff_nous,sae_additive,feat_2776,8.0,30,5,5,0,0.16666666666666666
32x,sae_additive,feat_71839,4.0,30,30,4,0,0.13333333333333333
multipos_topk3,sae_additive,sum_top3,12.0,30,15,4,0,0.13333333333333333
neg_alpha_32x,sae_additive,feat_71839,4.0,30,30,4,0,0.13333333333333333
topk3,sae_additive,sum_top3,8.0,30,4,4,0,0.13333333333333333
multipos,sae_additive,feat_7792,4.0,30,29,3,0,0.1
multipos_topk3,sae_additive,sum_top3,4.0,30,30,3,0,0.1
multipos_topk3,sae_additive,sum_top3,8.0,30,30,3,0,0.1
neg_alpha_32x,sae_additive,feat_71839,12.0,30,7,3,0,0.1
ratio_strat,sae_additive,feat_27749,4.0,30,30,3,0,0.1
32x_strat,sae_additive,feat_71839,4.0,30,30,2,0,0.06666666666666667
32x_strat,sae_additive,feat_71839,16.0,30,2,2,0,0.06666666666666667
32x_topk3,sae_additive,sum_top3,8.0,30,2,2,0,0.06666666666666667
multipos,raw_dom,raw_dom,4.0,30,30,2,0,0.06666666666666667
neg_alpha_32x,sae_additive,feat_71839,-4.0,30,29,2,0,0.06666666666666667
main,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
main,sae_additive,feat_7792,0.0,30,30,1,0,0.03333333333333333
32x,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
32x,sae_additive,feat_71839,0.0,30,30,1,0,0.03333333333333333
32x_strat,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
32x_strat,sae_additive,feat_71839,0.0,30,30,1,0,0.03333333333333333
32x_topk3,sae_additive,sum_top3,0.0,30,30,1,0,0.03333333333333333
main_strat,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
main_strat,sae_additive,feat_7792,0.0,30,30,1,0,0.03333333333333333
modeldiff_nous,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
modeldiff_nous,sae_additive,feat_2776,0.0,30,30,1,0,0.03333333333333333
multipos,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
multipos,sae_additive,feat_7792,0.0,30,30,1,0,0.03333333333333333
multipos,sae_additive,feat_7792,12.0,30,6,1,0,0.03333333333333333
multipos_k20,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
multipos_k20,sae_additive,feat_7792,0.0,30,30,1,0,0.03333333333333333
multipos_topk3,sae_additive,sum_top3,0.0,30,30,1,0,0.03333333333333333
neg_alpha_32x,raw_dom,raw_dom,-4.0,30,30,1,0,0.03333333333333333
neg_alpha_32x,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
neg_alpha_32x,sae_additive,feat_71839,-8.0,30,4,1,0,0.03333333333333333
neg_alpha_32x,sae_additive,feat_71839,0.0,30,30,1,0,0.03333333333333333
neg_alpha_8x,raw_dom,raw_dom,-4.0,30,30,1,0,0.03333333333333333
neg_alpha_8x,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
neg_alpha_8x,sae_additive,feat_7792,0.0,30,30,1,0,0.03333333333333333
ratio,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
ratio,sae_additive,feat_27749,0.0,30,30,1,0,0.03333333333333333
ratio_strat,raw_dom,raw_dom,0.0,30,30,1,0,0.03333333333333333
ratio_strat,sae_additive,feat_27749,0.0,30,30,1,0,0.03333333333333333
topk3,sae_additive,sum_top3,0.0,30,30,1,0,0.03333333333333333
topk5,sae_additive,sum_top5,0.0,30,30,1,0,0.03333333333333333
main,raw_dom,raw_dom,8.0,30,0,0,0,0.0
main,raw_dom,raw_dom,12.0,30,0,0,0,0.0
main,raw_dom,raw_dom,16.0,30,0,0,0,0.0
main,raw_dom,raw_dom,20.0,30,0,0,2,0.0
main,sae_additive,feat_7792,8.0,30,0,0,0,0.0
main,sae_additive,feat_7792,12.0,30,0,0,0,0.0
main,sae_additive,feat_7792,16.0,30,0,0,28,0.0
main,sae_additive,feat_7792,20.0,30,0,0,28,0.0
32x,raw_dom,raw_dom,8.0,30,0,0,0,0.0
32x,raw_dom,raw_dom,12.0,30,0,0,0,0.0
32x,raw_dom,raw_dom,16.0,30,0,0,0,0.0
32x,raw_dom,raw_dom,20.0,30,0,0,2,0.0
32x,sae_additive,feat_71839,16.0,30,0,0,0,0.0
32x,sae_additive,feat_71839,20.0,30,0,0,0,0.0
32x_strat,raw_dom,raw_dom,8.0,30,0,0,0,0.0
32x_strat,raw_dom,raw_dom,12.0,30,0,0,0,0.0
32x_strat,raw_dom,raw_dom,16.0,30,0,0,0,0.0
32x_strat,raw_dom,raw_dom,20.0,30,0,0,4,0.0
32x_strat,sae_additive,feat_71839,20.0,30,0,0,2,0.0
32x_topk3,sae_additive,sum_top3,12.0,30,0,0,0,0.0
32x_topk3,sae_additive,sum_top3,16.0,30,0,0,0,0.0
32x_topk3,sae_additive,sum_top3,20.0,30,0,0,27,0.0
main_strat,raw_dom,raw_dom,8.0,30,0,0,0,0.0
main_strat,raw_dom,raw_dom,12.0,30,0,0,0,0.0
main_strat,raw_dom,raw_dom,16.0,30,0,0,0,0.0
main_strat,raw_dom,raw_dom,20.0,30,0,0,4,0.0
main_strat,sae_additive,feat_7792,8.0,30,0,0,0,0.0
main_strat,sae_additive,feat_7792,12.0,30,0,0,0,0.0
main_strat,sae_additive,feat_7792,16.0,30,0,0,12,0.0
main_strat,sae_additive,feat_7792,20.0,30,0,0,25,0.0
modeldiff_nous,raw_dom,raw_dom,4.0,30,30,0,0,0.0
modeldiff_nous,raw_dom,raw_dom,8.0,30,23,0,0,0.0
modeldiff_nous,raw_dom,raw_dom,12.0,30,4,0,0,0.0
modeldiff_nous,raw_dom,raw_dom,16.0,30,0,0,1,0.0
