window,horizon,target,local_model,temporal_model,delta_r2_mean,delta_r2_ci_low,delta_r2_ci_high,valid_r2_bootstrap_repetitions,delta_auprc_mean,delta_auprc_ci_low,delta_auprc_ci_high,valid_auprc_bootstrap_repetitions
4,1,future_min,raw_local,raw_history,0.009549140810966491,0.0004941388964653016,0.01862072646617889,1000,nan,nan,nan,0
4,1,future_min,sae,sae_plus_txc,0.0055187010169029235,-0.006245483458042145,0.019146205484867094,1000,nan,nan,nan,0
4,1,future_min,tsae,tsae_plus_txc,-0.004632935106754303,-0.014577805995941162,0.004740311205387115,1000,nan,nan,nan,0
4,1,future_min,sae,txc,0.0021188831925392153,-0.016143687069416046,0.02114772796630859,1000,nan,nan,nan,0
4,1,future_delta,raw_local,raw_history,-0.018445210814476014,-0.04826925545930862,0.010506533086299882,1000,nan,nan,nan,0
4,1,future_delta,sae,sae_plus_txc,-0.04114410781860352,-0.11205074340105056,0.004132562875747663,1000,nan,nan,nan,0
4,1,future_delta,tsae,tsae_plus_txc,-0.07791921812295914,-0.15864391773939132,-0.016483369469642642,1000,nan,nan,nan,0
4,1,future_delta,sae,txc,-0.09950247782468796,-0.18798718452453614,-0.04377968460321426,1000,nan,nan,nan,0
4,2,future_min,raw_local,raw_history,0.01747605061531067,0.00856499969959259,0.026978737115859984,1000,nan,nan,nan,0
4,2,future_min,sae,sae_plus_txc,0.006158507108688355,-0.006539544463157653,0.020645825564861296,1000,nan,nan,nan,0
4,2,future_min,tsae,tsae_plus_txc,-0.0012285698056221008,-0.009570485353469849,0.0076842993497848455,1000,nan,nan,nan,0
4,2,future_min,sae,txc,0.0022933977246284484,-0.0161744087934494,0.024855449795722954,1000,nan,nan,nan,0
4,2,future_delta,raw_local,raw_history,-0.018760467767715453,-0.045306804776191714,0.007429902255535114,1000,nan,nan,nan,0
4,2,future_delta,sae,sae_plus_txc,-0.017708883583545686,-0.06850660145282746,0.01972520053386688,1000,nan,nan,nan,0
4,2,future_delta,tsae,tsae_plus_txc,-0.03250337433815002,-0.09809923022985459,0.02981821596622467,1000,nan,nan,nan,0
4,2,future_delta,sae,txc,-0.07337232530117035,-0.14732004851102828,-0.02345102280378342,1000,nan,nan,nan,0
4,4,future_min,raw_local,raw_history,0.013255192339420319,0.004203805327415466,0.023588158190250397,1000,nan,nan,nan,0
4,4,future_min,sae,sae_plus_txc,-0.004205349266529083,-0.0247119203209877,0.018004928529262543,1000,nan,nan,nan,0
4,4,future_min,tsae,tsae_plus_txc,-0.013099025845527648,-0.027624084055423735,-4.42251563072255e-05,1000,nan,nan,nan,0
4,4,future_min,sae,txc,-0.01501644241809845,-0.04489969313144684,0.01513862311840057,1000,nan,nan,nan,0
4,4,future_delta,raw_local,raw_history,-0.009868406534194947,-0.043280225992202756,0.02292299419641494,1000,nan,nan,nan,0
4,4,future_delta,sae,sae_plus_txc,0.015985557615756988,-0.04450447261333466,0.08826693445444106,1000,nan,nan,nan,0
4,4,future_delta,tsae,tsae_plus_txc,-0.01634682524204254,-0.07584699988365173,0.04207782596349714,1000,nan,nan,nan,0
4,4,future_delta,sae,txc,-0.03878764402866364,-0.1196642979979515,0.04696424156427381,1000,nan,nan,nan,0
8,1,future_min,raw_local,raw_history,0.018287813484668732,0.005231718719005585,0.032594554126262665,1000,nan,nan,nan,0
8,1,future_min,sae,sae_plus_txc,-0.04210400539636612,-0.12011651694774628,0.011980247497558588,1000,nan,nan,nan,0
8,1,future_min,tsae,tsae_plus_txc,-0.0438349604010582,-0.07435327470302582,-0.018732666969299316,1000,nan,nan,nan,0
8,1,future_min,sae,txc,-0.0648018553853035,-0.1198081612586975,-0.02175822705030442,1000,nan,nan,nan,0
8,1,future_delta,raw_local,raw_history,-0.024634240806102752,-0.06461794078350067,0.015072952210903167,1000,nan,nan,nan,0
8,1,future_delta,sae,sae_plus_txc,-0.05376887112855911,-0.12981702387332916,-0.0019406810402870232,1000,nan,nan,nan,0
8,1,future_delta,tsae,tsae_plus_txc,-0.07536473488807678,-0.16714642345905303,0.0027201369404792524,1000,nan,nan,nan,0
8,1,future_delta,sae,txc,-0.13840267121791838,-0.2396889492869377,-0.059259893000125886,1000,nan,nan,nan,0
8,2,future_min,raw_local,raw_history,0.01932075262069702,0.004770593345165253,0.03603589832782745,1000,nan,nan,nan,0
8,2,future_min,sae,sae_plus_txc,-0.09595443731546402,-0.1588306173682213,-0.044212847948074355,1000,nan,nan,nan,0
8,2,future_min,tsae,tsae_plus_txc,-0.09529113483428955,-0.1529034286737442,-0.0483033686876297,1000,nan,nan,nan,0
8,2,future_min,sae,txc,-0.16831052565574647,-0.27776335924863815,-0.08012919872999193,1000,nan,nan,nan,0
8,2,future_delta,raw_local,raw_history,-0.0541809464097023,-0.10400220900774002,-0.003240622580051424,1000,nan,nan,nan,0
8,2,future_delta,sae,sae_plus_txc,-0.26350054854154586,-0.6970378309488297,-0.016527123749256138,1000,nan,nan,nan,0
8,2,future_delta,tsae,tsae_plus_txc,-0.21699177795648575,-0.588911272585392,0.015426969528198194,1000,nan,nan,nan,0
8,2,future_delta,sae,txc,-0.359097658932209,-0.8511221170425415,-0.07889848649501803,1000,nan,nan,nan,0
8,4,future_min,raw_local,raw_history,0.001781745731830597,-0.01308143138885498,0.0167353481054306,1000,nan,nan,nan,0
8,4,future_min,sae,sae_plus_txc,-0.0773351401090622,-0.13196638226509094,-0.03603136390447618,1000,nan,nan,nan,0
8,4,future_min,tsae,tsae_plus_txc,-0.08571243071556091,-0.13839287757873536,-0.04071316868066788,1000,nan,nan,nan,0
8,4,future_min,sae,txc,-0.14542543894052506,-0.2274003341794014,-0.07509356439113618,1000,nan,nan,nan,0
8,4,future_min,raw_local_user_history,raw_history_user_history,0.007632561862468719,-0.006756512820720672,0.02284230887889862,1000,nan,nan,nan,0
8,4,future_min,sae_user_history,sae_plus_txc_user_history,-0.01616125285625458,-0.0368688702583313,-0.0009477093815803535,1000,nan,nan,nan,0
8,4,future_delta,raw_local,raw_history,-0.037703473448753355,-0.10845546275377274,0.027901370823383297,1000,nan,nan,nan,0
8,4,future_delta,sae,sae_plus_txc,-0.16177736300230025,-0.2852449923753738,-0.048108486831188214,1000,nan,nan,nan,0
8,4,future_delta,tsae,tsae_plus_txc,-0.19148546785116197,-0.3524149388074875,-0.0440326184034348,1000,nan,nan,nan,0
8,4,future_delta,sae,txc,-0.26151798623800276,-0.45885380953550337,-0.09686319530010226,1000,nan,nan,nan,0
8,4,future_delta,raw_local_user_history,raw_history_user_history,-0.04283128178119659,-0.09157461673021317,0.0068300828337669334,1000,nan,nan,nan,0
