window,horizon,target,model,alpha,validation_r2,n_train,n_validation,n_test,r2,rmse,breach_auprc,breach_prevalence
4,1,future_min,axis_only,0.0001,0.8309535113535761,2640,880,880,0.7975361347198486,3.6422646045684814,nan,1.0
4,1,future_delta,axis_only,1000.0,0.020948716606473017,2640,880,880,0.02738809585571289,3.6479756832122803,nan,nan
4,1,future_min,axis_position,0.0001,0.852322040130442,2640,880,880,0.8220174908638,3.414966344833374,nan,1.0
4,1,future_delta,axis_position,10.0,0.1443694176972179,2640,880,880,0.14792340993881226,3.4144556522369385,nan,nan
4,1,future_min,user_axis,100.0,0.822727417219466,2640,880,880,0.8056063055992126,3.568936586380005,nan,1.0
4,1,future_delta,user_axis,1000.0,0.10144813887273185,2640,880,880,0.09745538234710693,3.5141193866729736,nan,nan
4,1,future_min,raw_local,10000.0,0.8580207479935462,2640,880,880,0.8368803262710571,3.269270896911621,nan,1.0
4,1,future_delta,raw_local,10000.0,0.28313394649798185,2640,880,880,0.2909182906150818,3.1148009300231934,nan,nan
4,1,future_min,raw_history,10000.0,0.8696163840058497,2640,880,880,0.8463544845581055,3.1729094982147217,nan,1.0
4,1,future_delta,raw_history,10000.0,0.2629705798876082,2640,880,880,0.2723239064216614,3.155376672744751,nan,nan
4,1,future_min,sae,1000.0,0.7879875017284154,2640,880,880,0.781765341758728,3.781461000442505,nan,1.0
4,1,future_delta,sae,10000.0,0.13679256406887985,2640,880,880,0.1334438920021057,3.4433445930480957,nan,nan
4,1,future_min,tsae,1000.0,0.8172664959181657,2640,880,880,0.8035726547241211,3.5875558853149414,nan,1.0
4,1,future_delta,tsae,1000.0,0.1798531884719453,2640,880,880,0.17571955919265747,3.3583011627197266,nan,nan
4,1,future_min,txc,1000.0,0.7854181388427168,2640,880,880,0.7837996482849121,3.7637951374053955,nan,1.0
4,1,future_delta,txc,10000.0,0.06442368280406097,2640,880,880,0.032008349895477295,3.639301061630249,nan,nan
4,1,future_min,sae_plus_txc,1000.0,0.7892531157758137,2640,880,880,0.7865933775901794,3.739398241043091,nan,1.0
4,1,future_delta,sae_plus_txc,10000.0,0.12020039835292595,2640,880,880,0.09149855375289917,3.5256969928741455,nan,nan
4,1,future_min,tsae_plus_txc,1000.0,0.8049943928387885,2640,880,880,0.798951268196106,3.6295132637023926,nan,1.0
4,1,future_delta,tsae_plus_txc,10000.0,0.12753563861323003,2640,880,880,0.09910231828689575,3.510911464691162,nan,nan
4,2,future_min,axis_only,0.0001,0.8483254658566516,2400,800,800,0.826636016368866,3.377098321914673,nan,1.0
4,2,future_delta,axis_only,1000.0,0.011254541091793913,2400,800,800,0.017410576343536377,3.6913340091705322,nan,nan
4,2,future_min,axis_position,0.0001,0.8786239508727888,2400,800,800,0.8587477803230286,3.0483291149139404,nan,1.0
4,2,future_delta,axis_position,0.0001,0.17170040189405555,2400,800,800,0.15351098775863647,3.4261624813079834,nan,nan
4,2,future_min,user_axis,100.0,0.856654120963292,2400,800,800,0.8403617143630981,3.240654706954956,nan,1.0
4,2,future_delta,user_axis,1000.0,0.10561906839606672,2400,800,800,0.09958869218826294,3.5336029529571533,nan,nan
4,2,future_min,raw_local,1000.0,0.8902572191936738,2400,800,800,0.8674675226211548,2.9527413845062256,nan,1.0
4,2,future_delta,raw_local,10000.0,0.2931049994460868,2400,800,800,0.2699153423309326,3.1818807125091553,nan,nan
4,2,future_min,raw_history,10000.0,0.9012699194292453,2400,800,800,0.8848106861114502,2.752772569656372,nan,1.0
4,2,future_delta,raw_history,10000.0,0.2545092640446738,2400,800,800,0.2511245608329773,3.2225677967071533,nan,nan
4,2,future_min,sae,1000.0,0.8136909459429018,2400,800,800,0.820732831954956,3.4341132640838623,nan,1.0
4,2,future_delta,sae,10000.0,0.1311444750025469,2400,800,800,0.1343558430671692,3.4647107124328613,nan,nan
4,2,future_min,tsae,1000.0,0.8445750508232549,2400,800,800,0.8365322947502136,3.2792930603027344,nan,1.0
4,2,future_delta,tsae,1000.0,0.1640149559517502,2400,800,800,0.14974766969680786,3.433769941329956,nan,nan
4,2,future_min,txc,1000.0,0.8172720913644105,2400,800,800,0.8228479623794556,3.4137938022613525,nan,1.0
4,2,future_delta,txc,10000.0,0.06851198548416515,2400,800,800,0.06019192934036255,3.6100804805755615,nan,nan
4,2,future_min,sae_plus_txc,1000.0,0.8193719308359297,2400,800,800,0.8268569707870483,3.374945640563965,nan,1.0
4,2,future_delta,sae_plus_txc,10000.0,0.11564464868544522,2400,800,800,0.11660993099212646,3.500044345855713,nan,nan
4,2,future_min,tsae_plus_txc,1000.0,0.8322011675481202,2400,800,800,0.8350039720535278,3.2945873737335205,nan,1.0
4,2,future_delta,tsae_plus_txc,10000.0,0.12656690903560963,2400,800,800,0.11720818281173706,3.49885892868042,nan,nan
4,4,future_min,axis_only,0.0001,0.8554169068468993,1920,640,640,0.8295816779136658,3.40558123588562,nan,1.0
4,4,future_delta,axis_only,1000.0,-0.0004146685038126652,1920,640,640,0.004971981048583984,3.8781869411468506,nan,nan
4,4,future_min,axis_position,0.0001,0.9037241563395134,1920,640,640,0.8818682432174683,2.835413694381714,nan,1.0
4,4,future_delta,axis_position,0.1,0.21565130609366245,1920,640,640,0.1994827389717102,3.4785354137420654,nan,nan
4,4,future_min,user_axis,100.0,0.8798363286388441,1920,640,640,0.859851062297821,3.088360548019409,nan,1.0
4,4,future_delta,user_axis,1000.0,0.13571156969695675,1920,640,640,0.05412358045578003,3.7811880111694336,nan,nan
4,4,future_min,raw_local,1000.0,0.912287760627945,1920,640,640,0.8929922580718994,2.698613166809082,nan,1.0
4,4,future_delta,raw_local,10000.0,0.30114363139084777,1920,640,640,0.2595314383506775,3.3455257415771484,nan,nan
