record_type,series,window,band,frequencies,n,mean,std_sample,seed_values,source,comparable_to_aniket_reference,artifact_sha256,cohort_sha256
performance,fourier,1,,,3,0.21840174282708139,0.0016283305919452405,"{""1"": 0.2190216932120205, ""2"": 0.21655449516142267, ""42"": 0.219629040107801}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
performance,fourier,2,,,3,0.24281432458976185,0.01888105086577337,"{""1"": 0.2491614722934068, ""2"": 0.2215775459055458, ""42"": 0.257703955570333}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
performance,fourier,4,,,3,0.2428922395041083,0.012521351214416271,"{""1"": 0.235648667292973, ""2"": 0.2573506409692481, ""42"": 0.23567741025010375}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
performance,fourier,6,,,3,0.24461869602792263,0.005938144289627906,"{""1"": 0.24624348662198087, ""2"": 0.24957532137988894, ""42"": 0.23803728008189812}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
performance,fourier,10,,,3,0.2397851202287993,0.006701937732233818,"{""1"": 0.23791911568770024, ""2"": 0.24722231266078998, ""42"": 0.23421393233790772}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
performance,txc_ordered,1,,,3,0.2177600805709575,0.004928995620124655,"{""1"": 0.2225705087906432, ""2"": 0.21272051016770127, ""42"": 0.21798922275452806}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,txc_ordered,2,,,3,0.22888026441320922,0.006404103601810353,"{""1"": 0.22493309538897183, ""2"": 0.22543836783282134, ""42"": 0.23626933001783446}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,txc_ordered,4,,,3,0.24655668852537252,0.007165802898924996,"{""1"": 0.25382563442937667, ""2"": 0.24634574449390523, ""42"": 0.2394986866528357}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,txc_ordered,6,,,3,0.25121816193671537,0.005844498409952477,"{""1"": 0.24553747141042298, ""2"": 0.2509032769353158, ""42"": 0.2572137374644074}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,txc_ordered,10,,,3,0.25481848741262875,0.008453839938252728,"{""1"": 0.25045286117076315, ""2"": 0.2494399917620031, ""42"": 0.2645626093051201}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_positional,1,,,3,0.2214454437751399,0.016181946675831088,"{""1"": 0.22753160261269895, ""2"": 0.23370185458226142, ""42"": 0.2031028741304593}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_positional,2,,,3,0.1956019860397414,0.009710849053135039,"{""1"": 0.1869833879015828, ""2"": 0.20612340342164046, ""42"": 0.19369916679600094}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_positional,4,,,3,0.19439453335625098,0.00758712613451008,"{""1"": 0.20314612542144134, ""2"": 0.1896698673989865, ""42"": 0.1903676072483251}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_positional,6,,,3,0.18063987462731593,0.020313988957351942,"{""1"": 0.2019095307928675, ""2"": 0.17857005923039343, ""42"": 0.16144003385868688}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_positional,10,,,3,0.17101046460353828,0.005888508110202571,"{""1"": 0.17753940819167105, ""2"": 0.16939043784691052, ""42"": 0.1661015477720333}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_invariant,1,,,3,0.2214454437751399,0.016181946675831088,"{""1"": 0.22753160261269895, ""2"": 0.23370185458226142, ""42"": 0.2031028741304593}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_invariant,2,,,3,0.2112380043791985,0.007823156514899005,"{""1"": 0.21242295116688234, ""2"": 0.2184010905196117, ""42"": 0.20288997145110152}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_invariant,4,,,3,0.21897585306940903,0.0059179529187165115,"{""1"": 0.22500432335325887, ""2"": 0.21317498442526323, ""42"": 0.218748251429705}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_invariant,6,,,3,0.22019492317333503,0.007395536517348309,"{""1"": 0.22758623434594227, ""2"": 0.21279516854114983, ""42"": 0.22020336663291307}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_invariant,10,,,3,0.22335429039998123,0.006650064037142202,"{""1"": 0.22830653261068284, ""2"": 0.21579586425528058, ""42"": 0.2259604743339803}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_last_token,1,,,3,0.2214454437751399,0.016181946675831088,"{""1"": 0.22753160261269895, ""2"": 0.23370185458226142, ""42"": 0.2031028741304593}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_last_token,2,,,3,0.20761748324277787,0.0038157588334359663,"{""1"": 0.20354124461907022, ""2"": 0.2111041274894844, ""42"": 0.20820707761977908}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_last_token,4,,,3,0.2099308279831771,0.016250467865521544,"{""1"": 0.22832436490835145, ""2"": 0.19751908589938638, ""42"": 0.20394903314179355}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_last_token,6,,,3,0.20707849390352062,0.012147863623681561,"{""1"": 0.22018881091417036, ""2"": 0.20484309019792302, ""42"": 0.19620358059846849}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
performance,sae_last_token,10,,,3,0.2140445666966737,0.007227287566998695,"{""1"": 0.22188154929434512, ""2"": 0.20764213429568995, ""42"": 0.212610016499986}",Aniket commit d9c7fc7b22352394b6d1b91897cdb82d0b128f0e,True,a816928d6e0520e027d0ef06925a43e2baec1e62e2dc1ff85b26cff5f1b6fc1a,f397f4caf6212825bd98b1b82be932ae634f01a716fd7e3642fd3d7640b27c0b
context_marker,tsae_t1_300k_seed42,1,,,1,0.245,,"{""42"": 0.24481534796544918}",submitted-paper S=32 marker; not a T curve,True,,
band_usage,fourier_activation_mass_share,1,0,[0],3,1.0,0.0,"{""1"": 1.0, ""2"": 1.0, ""42"": 1.0}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,2,0,[0],3,0.7932350169205015,0.008612625819894169,"{""1"": 0.7969388196601231, ""2"": 0.7993761567405623, ""42"": 0.7833900743608189}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,2,1,[1],3,0.20676496288364418,0.008612573651047593,"{""1"": 0.20306118033987688, ""2"": 0.20062386215965528, ""42"": 0.2166098461514004}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,4,0,[0],3,0.6566184860156498,0.009221447681285192,"{""1"": 0.6670542862829514, ""2"": 0.6495687420228174, ""42"": 0.6532324297411806}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,4,1,[1],3,0.23450407199601705,0.006471218005621699,"{""1"": 0.22716367758103664, ""2"": 0.23938489707807312, ""42"": 0.23696364132894138}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,4,2,[2],3,0.1088775149568592,0.002751673654917245,"{""1"": 0.10578218680442983, ""2"": 0.1110464001086575, ""42"": 0.10980395795749026}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
band_usage,fourier_activation_mass_share,6,0,[0],3,0.5982438160231435,0.012704230039631042,"{""1"": 0.5984327522138017, ""2"": 0.5854461716227811, ""42"": 0.6108525242328476}",recovered-artifact-sensitivity,False,1681b7e6ef68ccc207a5d9af2c4ba3d4646056ccdca0bc3d5c09bc3b43c2125f,9137bda110780afc1965f453669d434100e1e495bd8f4dfaf8713c4bb6516c0d
