section,task,model,window,source,band,metric,n,mean,std,values,expected_band,expected_energy,provenance
shamir_h1_fresh,shamir_h1_w1,sae,1,,,secret_balanced_accuracy,2,0.030779146455035926,0.002445201628232221,"[0.03250816510772732, 0.029050127802344537]",,,fresh
shamir_h1_fresh,shamir_h1_w1,sae,1,,,secret_recovery,2,-0.0015282153297962071,0.0025267083491732952,"[0.0002584372779848969, -0.0033148679375773113]",,,fresh
shamir_h1_fresh,shamir_h1_w1,txc,1,,,secret_balanced_accuracy,2,0.028810645252829205,0.0004634852810976814,"[0.02848291166758488, 0.029138378838073527]",,,fresh
shamir_h1_fresh,shamir_h1_w1,txc,1,,,secret_recovery,2,-0.0035623332387431554,0.00047893479046760417,"[-0.003900991276828957, -0.0032236752006573545]",,,fresh
shamir_h1_fresh,shamir_h1_w1,spectral_v1,1,,,secret_balanced_accuracy,2,0.03132623149083237,0.0010583011083180889,"[0.03057789960060341, 0.03207456338106133]",,,fresh
shamir_h1_fresh,shamir_h1_w1,spectral_v1,1,,,secret_recovery,2,-0.0009628941261398843,0.001093577811928692,"[-0.0017361704127098092, -0.0001896178395699594]",,,fresh
shamir_h1_fresh,shamir_h1_w2,sae,2,,,secret_balanced_accuracy,2,0.08621079312839808,0.006374074601110774,"[0.09071794450263244, 0.08170364175416371]",,,fresh
shamir_h1_fresh,shamir_h1_w2,sae,2,,,secret_recovery,2,0.05575115289934468,0.006586543754481134,"[0.06040854265272019, 0.05109376314596917]",,,fresh
shamir_h1_fresh,shamir_h1_w2,txc,2,,,secret_balanced_accuracy,2,0.08358102643524797,0.00835123532153668,"[0.08948624156239117, 0.07767581130810476]",,,fresh
shamir_h1_fresh,shamir_h1_w2,txc,2,,,secret_recovery,2,0.0530337273164229,0.008629609832254569,"[0.05913578294780421, 0.04693167168504159]",,,fresh
shamir_h1_fresh,shamir_h1_w2,spectral_v1,2,,,secret_balanced_accuracy,2,0.05707644739164943,0.006751783482517937,"[0.06185067927724119, 0.052302215506057674]",,,fresh
