task,task_label,family,window,model,model_label,n,seeds,d_sae,parameter_count,direct_latent_r2_mean,direct_latent_r2_std,direct_latent_r2_active_mean,direct_latent_r2_active_std,inactive_to_active_energy_ratio_mean,inactive_to_active_energy_ratio_std,band_localization_accuracy_mean,band_localization_accuracy_std,paired_delta_vs_txc_mean,paired_delta_vs_txc_std,raw_projection_r2_mean,raw_projection_r2_std,latent_r2_mean,latent_r2_std,nmse_mean,nmse_std,l0_per_window_mean,l0_per_window_std,temporal_basis,bands,frequency_bin_bands,expected_power_by_band,selection_event_share,adaptive_difficulty_weight,difficulty_weight_prior,frequency_routing_scale
hmm_slow_t8_routed_screen,Slow HMM $T=8$,factorial_hmm,8,txc,TXC-post,2,"[1,2]",64,16576,0.8193782953181125,0.010644311398769967,,,,,,,0.0,0.0,0.7470329371012342,0.0,0.8450030540617883,0.013260497714192276,0.4786706119775772,0.012289704924412868,7.67529296875,0.04350363985815673,,,,,,,,
hmm_slow_t8_routed_screen,Slow HMM $T=8$,factorial_hmm,8,spectral_fourier_global,Spectral Fourier global,2,"[1,2]",255,16671,0.8024869084468363,0.003663498560276531,,,,,1.0,0.0,-0.016891386871276115,0.006980812838493436,0.7470329371012342,0.0,0.8288235000767694,0.003999405020852016,0.4527217298746109,0.002402012116908617,7.78076171875,0.05869538711021147,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.7809600753979421,0.14097322820651778,0.04254149754495953,0.03552519885058062]","[0.4312087435408265,0.23627657755865245,0.16164254364312353,0.17087213525739753]",,,
hmm_slow_t8_routed_screen,Slow HMM $T=8$,factorial_hmm,8,spectral_fourier_adaptive,Fourier learned loss,2,"[1,2]",255,16675,0.8023322326838738,0.00363064812367024,,,,,1.0,0.0,-0.017046062634238635,0.007013663275099727,0.7470329371012342,0.0,0.8287096693274929,0.0033556055617997528,0.4530690312385559,0.002269818526554198,7.76708984375,0.05317111538219156,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.7809600753979421,0.14097322820651778,0.04254149754495953,0.03552519885058062]","[0.4313999584613455,0.23669342513637215,0.16141266497899553,0.17049395142328672]","[0.12499789195157167,0.2500104987983276,0.24999813828636389,0.3749934709637368]","[0.125,0.25,0.25,0.375]",
hmm_slow_t8_routed_screen,Slow HMM $T=8$,factorial_hmm,8,spectral_fourier_routed,Fourier learned routing,2,"[1,2]",255,16675,0.8025144729472496,0.003632461735055327,,,,,1.0,0.0,-0.016863822370862813,0.007011849663714639,0.7470329371012342,0.0,0.8283990329126774,0.003980973363276305,0.4533836096525192,0.0025188853278293264,7.75146484375,0.05731431917820649,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.7809600753979421,0.14097322820651778,0.04254149754495953,0.03552519885058062]","[0.43223697411073775,0.23721889184933453,0.16064364557000294,0.16990048846992478]","[0.12499985145405262,0.2500004703178896,0.24999992642551833,0.3749997518025394]","[0.125,0.25,0.25,0.375]","[0.9999993741512299,1.0000008940696716,0.9999998509883881,0.9999996721744537]"
hmm_alternating_t8_routed_screen,Alternating HMM $T=8$,factorial_hmm,8,txc,TXC-post,2,"[1,2]",64,16576,0.8149177970882034,0.006009012319455182,,,,,,,0.0,0.0,0.7471941825072302,0.0,0.8404640035451285,0.006928842633097341,0.4767121225595474,0.00606887223105342,7.66845703125,0.026930824674097024,,,,,,,,
hmm_alternating_t8_routed_screen,Alternating HMM $T=8$,factorial_hmm,8,spectral_fourier_global,Spectral Fourier global,2,"[1,2]",255,16671,0.765465310473395,0.006104693213534949,,,,,1.0,0.0,-0.04945248661480833,9.56808940797668e-05,0.7471941825072302,0.0,0.7875960007314915,0.007501121636816517,0.46475861966609955,0.0010811298845771983,7.78369140625,0.12360557991444532,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.010566710425571564,0.025435150435151484,0.0435333314307655,0.9204648077085115]","[0.0605003424282039,0.12645287815632256,0.15418463396209223,0.6588621454533813]",,,
hmm_alternating_t8_routed_screen,Alternating HMM $T=8$,factorial_hmm,8,spectral_fourier_adaptive,Fourier learned loss,2,"[1,2]",255,16675,0.765864231585952,0.006088810794394929,,,,,1.0,0.0,-0.049053565502251484,7.979847493974675e-05,0.7471941825072302,0.0,0.7881943009055652,0.007547405099129769,0.4646882712841034,0.0011254894426349143,7.78173828125,0.11670024025442044,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.010566710425571564,0.025435150435151484,0.0435333314307655,0.9204648077085115]","[0.06018848493502739,0.12676948367983315,0.15379623329755437,0.6592457980875851]","[0.12473477376020754,0.24952449555400966,0.2496521314534714,0.3760885992323114]","[0.125,0.25,0.25,0.375]",
hmm_alternating_t8_routed_screen,Alternating HMM $T=8$,factorial_hmm,8,spectral_fourier_routed,Fourier learned routing,2,"[1,2]",255,16675,0.7656445353179586,0.0064823885571811445,,,,,1.0,0.0,-0.04927326177024477,0.00047337623772596263,0.7471941825072302,0.0,0.7876817992170673,0.008214231792077253,0.4653489291667938,0.0014724844464251048,7.76123046875,0.10703276473038562,fourier,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1],[2],[3,4]]","[0.010566710425571564,0.025435150435151484,0.0435333314307655,0.9204648077085115]","[0.05938162147482265,0.12477316051138143,0.15245749776436462,0.6633877202494314]","[0.12479050410387699,0.24965088720508927,0.24971716012120232,0.37584144856983137]","[0.125,0.25,0.25,0.375]","[0.9991616308689117,0.9993014931678772,0.9994341135025024,1.0011212229728699]"
narrowband_sparse_balanced_t8,Sparse NB balanced,narrowband_sources,8,txc,TXC-post,2,"[1,2]",64,49600,0.7618636879144662,0.014539884648487796,0.8397235283587874,0.013342820312871173,0.015496690147330263,0.00019120042545176744,,,0.0,0.0,0.2565658914157312,0.0,0.7596598352680004,0.014847649571318946,0.5185624957084656,0.009783126476348722,8.0576171875,0.04005097002814429,,,,,,,,
narrowband_sparse_balanced_t8,Sparse NB balanced,narrowband_sources,8,sae,BatchTopK SAE,2,"[1,2]",512,49712,0.12684402205405218,0.0032201822676562798,0.22537769238088096,0.002606455424496393,0.019668711330236024,0.001139014004172179,,,-0.635019665860414,0.011319702380831525,0.2565658914157312,0.0,0.15868433646490418,0.0021295673301187394,0.7892358601093292,0.0017636348759383607,8.33544921875,0.0006905339660024879,,,,,,,,
