source,architecture,seed,S,pr_auc,roc_auc
corrected_replication,TXC-base 32k,1,1,0.165674104424223,0.5972346831079199
corrected_replication,TXC-base 32k,1,2,0.17882871540309253,0.6035495505034737
corrected_replication,TXC-base 32k,1,4,0.18319632560625265,0.6205039292548602
corrected_replication,TXC-base 32k,1,8,0.1950309704662098,0.6365557100676158
corrected_replication,TXC-base 32k,1,16,0.2300671374127968,0.6645576094011603
corrected_replication,TXC-base 32k,1,32,0.2561178459198693,0.6983007438945943
corrected_replication,TXC-base 32k,2,1,0.1337534213183339,0.5308263691088124
corrected_replication,TXC-base 32k,2,2,0.14260756498102983,0.5613450470757467
corrected_replication,TXC-base 32k,2,4,0.15525306422159843,0.5758608246117813
corrected_replication,TXC-base 32k,2,8,0.17913119600269342,0.6136143626924462
corrected_replication,TXC-base 32k,2,16,0.23927813269727408,0.6591504044040299
corrected_replication,TXC-base 32k,2,32,0.2618242158487088,0.6958271183443946
corrected_replication,TXC-base 32k,42,1,0.14123597224016313,0.558828857665449
corrected_replication,TXC-base 32k,42,2,0.14551588007960586,0.5657743096275943
corrected_replication,TXC-base 32k,42,4,0.1734919568055095,0.6070875279079309
corrected_replication,TXC-base 32k,42,8,0.1880718727091344,0.6286361977946813
corrected_replication,TXC-base 32k,42,16,0.2249874067827001,0.6561038053792816
corrected_replication,TXC-base 32k,42,32,0.2523250792283652,0.6816208806431623
new_width_sensitivity,T-SAE 16k,42,1,0.16434924580280155,0.601821143202866
submitted_rounded_table_reference,SAE 32k,42,1,0.13,0.507
submitted_rounded_table_reference,T-SAE 32k,42,1,0.158,0.591
submitted_rounded_table_reference,TXC-base 32k,42,1,0.143,0.536
new_width_sensitivity,T-SAE 16k,42,2,0.16492089928653517,0.6056288384543571
submitted_rounded_table_reference,SAE 32k,42,2,0.132,0.508
submitted_rounded_table_reference,T-SAE 32k,42,2,0.164,0.603
submitted_rounded_table_reference,TXC-base 32k,42,2,0.168,0.593
new_width_sensitivity,T-SAE 16k,42,4,0.19484223143844454,0.6509709852033743
submitted_rounded_table_reference,SAE 32k,42,4,0.137,0.518
submitted_rounded_table_reference,T-SAE 32k,42,4,0.169,0.617
submitted_rounded_table_reference,TXC-base 32k,42,4,0.177,0.609
new_width_sensitivity,T-SAE 16k,42,8,0.20425840725398592,0.6664842141114964
submitted_rounded_table_reference,SAE 32k,42,8,0.175,0.566
submitted_rounded_table_reference,T-SAE 32k,42,8,0.196,0.64
submitted_rounded_table_reference,TXC-base 32k,42,8,0.201,0.628
new_width_sensitivity,T-SAE 16k,42,16,0.21298159568048192,0.6752836303064845
submitted_rounded_table_reference,SAE 32k,42,16,0.196,0.589
submitted_rounded_table_reference,T-SAE 32k,42,16,0.213,0.655
submitted_rounded_table_reference,TXC-base 32k,42,16,0.217,0.647
new_width_sensitivity,T-SAE 16k,42,32,0.22850374290526787,0.6904788093267655
submitted_rounded_table_reference,SAE 32k,42,32,0.229,0.626
submitted_rounded_table_reference,T-SAE 32k,42,32,0.245,0.683
submitted_rounded_table_reference,TXC-base 32k,42,32,0.25,0.679
