arch,magnitude,n_extra_rescue,n_broke_by_steering,n_no_change_vs_baseline,delta_net_vs_baseline,n_total
mlc,-16.0,1,26,34,-25,61
mlc,-12.0,0,19,42,-19,61
mlc,-10.0,0,8,53,-8,61
mlc,-8.0,2,7,52,-5,61
mlc,-7.0,1,6,54,-5,61
mlc,-6.0,4,7,50,-3,61
mlc,-5.0,4,4,53,0,61
mlc,-4.0,5,5,51,0,61
mlc,-3.0,3,4,54,-1,61
mlc,-2.0,2,4,55,-2,61
mlc,-1.0,2,4,55,-2,61
mlc,-0.5,1,6,54,-5,61
mlc,0.0,0,0,61,0,61
mlc,0.5,3,4,54,-1,61
mlc,1.0,2,3,56,-1,61
mlc,2.0,4,9,48,-5,61
mlc,3.0,4,5,52,-1,61
mlc,4.0,5,3,53,2,61
mlc,5.0,2,5,54,-3,61
mlc,6.0,5,9,47,-4,61
mlc,7.0,5,7,49,-2,61
mlc,8.0,4,9,48,-5,61
mlc,10.0,5,12,44,-7,61
mlc,12.0,3,14,44,-11,61
mlc,16.0,2,31,28,-29,61
tfa,-16.0,7,20,34,-13,61
tfa,-12.0,2,10,49,-8,61
tfa,-10.0,3,9,49,-6,61
tfa,-8.0,7,6,48,1,61
tfa,-7.0,3,8,50,-5,61
tfa,-6.0,4,6,51,-2,61
tfa,-5.0,3,5,53,-2,61
tfa,-4.0,2,5,54,-3,61
tfa,-3.0,2,2,57,0,61
tfa,-2.0,5,5,51,0,61
tfa,-1.0,3,3,55,0,61
tfa,-0.5,1,2,58,-1,61
tfa,0.0,0,0,61,0,61
tfa,0.5,2,3,56,-1,61
tfa,1.0,2,6,53,-4,61
tfa,2.0,4,5,52,-1,61
tfa,3.0,4,6,51,-2,61
tfa,4.0,5,5,51,0,61
tfa,5.0,2,4,55,-2,61
tfa,6.0,2,8,51,-6,61
tfa,7.0,2,7,52,-5,61
tfa,8.0,2,8,51,-6,61
tfa,10.0,1,12,48,-11,61
tfa,12.0,2,9,50,-7,61
tfa,16.0,2,17,42,-15,61
topk_sae,-16.0,2,29,30,-27,61
topk_sae,-12.0,4,16,41,-12,61
topk_sae,-10.0,4,13,44,-9,61
topk_sae,-8.0,2,12,47,-10,61
topk_sae,-7.0,1,10,50,-9,61
topk_sae,-6.0,2,6,53,-4,61
topk_sae,-5.0,3,7,51,-4,61
topk_sae,-4.0,5,6,50,-1,61
topk_sae,-3.0,2,6,53,-4,61
topk_sae,-2.0,5,6,50,-1,61
topk_sae,-1.0,2,7,52,-5,61
topk_sae,-0.5,2,3,56,-1,61
topk_sae,0.0,0,0,61,0,61
topk_sae,0.5,0,3,58,-3,61
topk_sae,1.0,1,4,56,-3,61
topk_sae,2.0,4,6,51,-2,61
topk_sae,3.0,4,4,53,0,61
topk_sae,4.0,3,7,51,-4,61
topk_sae,5.0,3,8,50,-5,61
topk_sae,6.0,4,10,47,-6,61
topk_sae,7.0,3,10,48,-7,61
topk_sae,8.0,3,8,50,-5,61
topk_sae,10.0,4,11,46,-7,61
topk_sae,12.0,3,9,49,-6,61
topk_sae,16.0,2,15,44,-13,61
tsae,-16.0,2,19,40,-17,61
tsae,-12.0,1,7,53,-6,61
tsae,-10.0,2,6,53,-4,61
tsae,-8.0,1,6,54,-5,61
