2026-03-20 05:25:17,740 INFO    MainThread:33086 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_setup.py:_flush():81] Configure stats pid to 33086
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /root/temp_xc/temporal_crosscoders/wandb/run-20260320_052517-rnuvduhs/logs/debug.log
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /root/temp_xc/temporal_crosscoders/wandb/run-20260320_052517-rnuvduhs/logs/debug-internal.log
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_init.py:init():844] calling init triggers
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'model_type': 'stacked_sae', 'rho': 0.0, 'k': 25, 'T': 5, 'd_sae': 128, 'num_feats': 128, 'hidden_dim': 256, 'feat_prob': 0.05, 'feat_mean': 1.0, 'feat_std': 0.15, 'markov_alpha': 0.05, 'markov_beta': 0.05, 'train_steps': 80000, 'log_interval': 1500, 'batch_size': 1, 'lr': 0.0003, 'grad_clip': 1.0, 'seed': 42, 'experiment_tag': 'v8', '_wandb': {}}
2026-03-20 05:25:17,741 INFO    MainThread:33086 [wandb_init.py:init():892] starting backend
2026-03-20 05:25:18,015 INFO    MainThread:33086 [wandb_init.py:init():895] sending inform_init request
2026-03-20 05:25:18,020 INFO    MainThread:33086 [wandb_init.py:init():903] backend started and connected
2026-03-20 05:25:18,039 INFO    MainThread:33086 [wandb_init.py:init():973] updated telemetry
2026-03-20 05:25:18,044 INFO    MainThread:33086 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-20 05:25:18,863 INFO    MainThread:33086 [wandb_init.py:init():1042] starting run threads in backend
2026-03-20 05:25:18,998 INFO    MainThread:33086 [wandb_run.py:_console_start():2524] atexit reg
2026-03-20 05:25:18,998 INFO    MainThread:33086 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-20 05:25:18,998 INFO    MainThread:33086 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-20 05:25:18,998 INFO    MainThread:33086 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-20 05:25:19,001 INFO    MainThread:33086 [wandb_init.py:init():1082] run started, returning control to user process
